pregunta,respuesta
¿Qué obligaciones debo presentar a través de esta declaración?,"Por medio de esta declaración, debe conocer las deducciones de IVA que realiza en el ejercicio 2022."
¿A partir de qué período debo presentar estas declaraciones?,"A partir de enero de 2022, que se presenta el 17 de febrero del mismo año."
"Soy una persona moral, ya he presentado mi declaración anual de ejercicio 2023, ¿cuál es el plazo para realizar el pago de la línea de captura generada por la solicitud sin generar recargos por pago extemporáneo?","Para la declaración anual de personas morales de 2023, el plazo para presentar y pagar la declaración es el 1 de abril de 2024. Para evitar recargos de cargo y otras sanciones, debe pagar la línea de captura a más tardar en esa fecha."
¿Cuál es el procedimiento para adjuntar el archivo ISSIF a la declaración anual normal?,"Para adjuntar el archivo ISSIF a la declaración anual, haga los siguientes pasos:Introduzca la herramienta tecnológica para presentar la declaración anual, de acuerdo con el Artículo 32-H del CFF, seleccione el archivo de ISSIF que adjuntará y luego haga clic en él para completar este proceso de validación."
"¿Cómo debe adjuntarse el archivo ISSIF en la declaración anual suplementaria, si en declaraciones anteriores no selecciona la obligación?","Cuando no haya seleccionado la obligación del ISSIF, deberá realizar el siguiente procedimiento:Presenta una declaración de tipo “Complementaria” de “declaración no presentada”, en la configuración de la declaración, está obligado a presentar la información sobre su situación fiscal, de acuerdo con el artículo 32-H del CFF, para cada declaración que haya presentado del ejercicio sin dicha obligación.Continúe con el procedimiento descrito en la pregunta “1”."
Soy una persona moral que está comenzando con la liquidación de la empresa en qué formato de declaración debo presentar la declaración anual para la terminación anticipada del ejercicio?,"La declaración anual para la terminación anticipada del ejercicio debe presentarse en el formato de declaración correspondiente al régimen en el que usted está gravando, por ejemplo, si usted es una persona moral que grava en el régimen coordinado, debe presentar su declaración en el formulario 24 ISR Personas morales del régimen coordinado."
¿En qué declaración debo presentar mi declaración anual para el ejercicio de liquidación o la última declaración para los ejercicios de liquidación?,Estas declaraciones deben presentarse en el instrumento de declaración prellenado denominado “Declaración anual de las personas morales. Régimen general”.
¿Qué se necesita para introducir una declaración?,Usted debe tener su RFC y contraseña o e.signature en su caso.
¿Cuál es el mejor navegador para usar?,"Chrome, Firefox, Safari y Edge."
"¿Se depositaron con cambio de datos los URLs en los que se depositan los documentos de las entidades sin cuenta SATCLOUD (nuevos usuarios), con respecto a la solicitud formulada en el ejercicio de la declaración 2022 o anterior?","Las URLs y contraseñas cambiaron, estas están dentro de la Instrucción, manual y especificaciones para la presentación de interés 2024 procedimiento de la sección para la entrega de documentación para el procesamiento y renovación de la cuenta SATCLOUD."
"Para que las declaraciones de información de interés se presenten a partir de 2023, ¿cuáles son los medios de presentación?",Los medios de presentación serán electrónicos a través de la herramienta SATCLOUD.
¿En qué fecha SATCLOUD inicia la presentación de información de interés?,La recepción de la información comienza el 1 de febrero de 2024.
¿Cuánto dura el proceso de creación y liberación de la cuenta como usuario de SATCLOUD?,"El proceso de creación y liberación del usuario SATCLOUD no es inmediato, puede tardar hasta 5 días hábiles a partir de la fecha de recepción de la carta de respuesta al correo electrónico registrado en la respuesta."
"¿Se depositaron con cambio de datos los URLs en los que se depositan los documentos de las entidades sin cuenta SATCLOUD (nuevos usuarios), con respecto a la solicitud formulada en el ejercicio de la declaración 2022 o anterior?","Las URLs y contraseñas cambiaron, estas están dentro de la Instrucción, manual y especificaciones para la presentación de Trust 2024, procedimiento de la sección para la entrega de documentación para el procesamiento y renovación de la cuenta SATCLOUD."
"Para las declaraciones de confianza presentadas a partir de 2023, ¿cuáles son los medios de presentación que deben utilizarse?",Los medios de presentación serán electrónicos a través de la herramienta SATCLOUD.
¿En qué fecha SATCLOUD inicia la presentación de información de confianza?,La recepción de la información comienza el 1 de febrero de 2024.
¿Cuánto dura el proceso de creación y liberación de la cuenta como usuario de SATCLOUD?,"El proceso de creación y liberación del usuario de SATCLOUDNO es inmediato, puede tardar hasta 5 días hábiles a partir de la fecha de recepción de la carta de respuesta al correo electrónico registrado en la carta."
¿Qué es el depósito en efectivo?,"Depósitos en moneda nacional o extranjera realizados en cualquier forma de cuenta mantenida por personas físicas o jurídicas a su nombre por las instituciones del sistema financiero, así como compras en efectivo de cheques en efectivo."
¿Qué es el depósito en efectivo?,"No se considerarán depósitos en efectivo los realizados en favor de personas físicas o jurídicas mediante transferencias electrónicas, transferencias de cuentas, certificados de crédito o cualquier otro documento o sistema acordado con instituciones del sistema financiero de conformidad con la legislación aplicable, aun cuando sean realizados por la misma entidad que los reciba."
¿Qué obligación debo cumplir al presentar la declaración anual de depósitos en efectivo?,La obligación de informar de los depósitos en efectivo efectuados en cuentas abiertas en nombre de contribuyentes en instituciones del sistema financiero.
¿Cómo presento el estado mensual de depósitos en efectivo?,"Para el ejercicio 2022, el último día del mes del ejercicio correspondiente, deberá presentar la información correspondiente a los meses anteriores del mismo ejercicio, de conformidad con lo dispuesto en la regla 3.5.21."
¿Puedo capturar masivamente la información para la presentación de la declaración de depósito en efectivo?,"En la sección Contenido relacionado, la aplicación considera una opción para hacerlo de forma masiva, que identificarás como “Añadir desde archivo”, para importar tu información."
"Si no tengo la clave RFC del titular o copropietario de la cuenta, así como el adquirente de efectivo de cheques en efectivo, ¿qué datos debo capturar?",Debe utilizar las siguientes claves RFC genéricas:XAX010101000: Para personas físicas sin RFC.EXTF99010100000: para personas físicas extranjeras.EXT9901101000: para personas morales extranjeras.
¿Cómo se debe llevar a cabo el envío de la Declaración Informativa de Operaciones en nombre de los miembros del Consorcio Petrolero?,El envío debe hacerse con e.signature.
¿Qué información se presentará en la Declaración Informativa de Operaciones realizada en nombre de los miembros del consorcio petrolero?,La información contenida en los comprobantes fiscales cubre las transacciones realizadas en nombre de los miembros del consorcio.
"¿De qué tipo de proveedores, el operador del consorcio deberá presentar la información en la Declaración informativa de operaciones realizada en nombre de los miembros del consorcio petrolero?",Proveedores nacionales o extranjeros.
¿Cómo presento mi informe?,"A través de la aplicación de formulario descargable 86-A, que encontrarás en el portal SAT."
¿Puedo presentar operaciones menores a 600.000.00 pesos?,"Aunque los campos de montos en la forma oficial 86-A aceptan montos más bajos, solo se deben reportar transacciones superiores a 600.000.00 pesos."
¿Puede el formulario oficial 86-A ser presentado por medios magnéticos?,"No, la única forma de presentar el formulario 86-A será a través del sitio web del SAT en la sección correspondiente."
¿Cuál es la mejor manera de presentar una declaración?,Podrá presentarse a través del Portal SAT para cada declaración y la fecha de presentación será la fecha en que la reciba.
